Date,TONAR
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,-0.0007982162764771461
2020-01-04,-0.0008138238573021182
2020-01-04,-0.0008060200668896322
2020-01-05,-0.0007826086956521741
2020-01-05,-0.00079041248606466
2020-01-05,-0.0008216276477146043
2020-01-05,-0.0007982162764771461
2020-01-05,-0.00079041248606466
2020-01-06,-0.0007670011148272018
2020-01-06,-0.0007748049052396877
2020-01-06,-0.0008216276477146043
2020-01-06,-0.0007826086956521741
2020-01-06,-0.0007748049052396877
2020-01-07,-0.0007513935340022295
2020-01-07,-0.0007591973244147159
2020-01-07,-0.0008216276477146043
2020-01-07,-0.0007670011148272018
2020-01-07,-0.0007591973244147159
2020-01-08,-0.0007357859531772577
2020-01-08,-0.0007435897435897436
2020-01-08,-0.0008216276477146043
2020-01-08,-0.0008138238573021182
2020-01-08,-0.0008060200668896322
2020-01-08,-0.0008138238573021182
2020-01-08,-0.0007513935340022295
2020-01-08,-0.0007435897435897436
2020-01-09,-0.0007201783723522854
2020-01-09,-0.0007279821627647713
2020-01-09,-0.0008060200668896322
2020-01-09,-0.0007982162764771461
2020-01-09,-0.00079041248606466
2020-01-09,-0.0007826086956521741
2020-01-09,-0.0007748049052396877
2020-01-09,-0.0007826086956521741
2020-01-09,-0.00079041248606466
2020-01-09,-0.0007982162764771461
2020-01-09,-0.0007357859531772577
2020-01-09,-0.0007279821627647713
2020-01-10,-0.0006967670011148272
2020-01-10,-0.0007045707915273132
2020-01-10,-0.0007748049052396877
2020-01-10,-0.0007670011148272018
2020-01-10,-0.0007591973244147159
2020-01-10,-0.0007670011148272018
2020-01-10,-0.0007123745819397995
2020-01-10,-0.0007045707915273132
2020-01-11,-0.000681159420289855
2020-01-11,-0.0006889632107023413
2020-01-11,-0.0007591973244147159
2020-01-11,-0.0007513935340022295
2020-01-11,-0.0007435897435897436
2020-01-11,-0.0007513935340022295
2020-01-11,-0.0006967670011148272
2020-01-11,-0.0006889632107023413
2020-01-12,-0.0006655518394648829
2020-01-12,-0.0006733556298773691
2020-01-12,-0.0007435897435897436
2020-01-12,-0.0007357859531772577
2020-01-12,-0.0007279821627647713
2020-01-12,-0.0007357859531772577
2020-01-12,-0.000681159420289855
2020-01-12,-0.0006733556298773691
2020-01-13,-0.0006499442586399109
2020-01-13,-0.0006577480490523968
2020-01-13,-0.0006655518394648829
2020-01-13,-0.0006577480490523968
2020-01-14,-0.0006343366778149386
2020-01-14,-0.0006421404682274247
2020-01-14,-0.0007201783723522854
2020-01-14,-0.0007123745819397995
2020-01-14,-0.0007045707915273132
2020-01-14,-0.0007123745819397995
2020-01-14,-0.0006499442586399109
2020-01-14,-0.0006421404682274247
2020-01-15,-0.0006187290969899666
2020-01-15,-0.0006265328874024527
2020-01-15,-0.0007045707915273132
2020-01-15,-0.0006967670011148272
2020-01-15,-0.0006889632107023413
2020-01-15,-0.0006967670011148272
2020-01-15,-0.0006343366778149386
2020-01-15,-0.0006265328874024527
2020-01-16,-0.0006031215161649945
2020-01-16,-0.0006109253065774804
2020-01-16,-0.0006889632107023413
2020-01-16,-0.000681159420289855
2020-01-16,-0.0006733556298773691
2020-01-16,-0.000681159420289855
2020-01-16,-0.0006187290969899666
2020-01-16,-0.0006109253065774804
2020-01-17,-0.0005875139353400222
2020-01-17,-0.0005953177257525084
2020-01-17,-0.0006733556298773691
2020-01-17,-0.0006655518394648829
2020-01-17,-0.0006577480490523968
2020-01-17,-0.0006655518394648829
2020-01-17,-0.0006031215161649945
2020-01-17,-0.0005953177257525084
2020-01-18,-0.000548494983277592
2020-01-18,-0.0005562987736900779
2020-01-18,-0.0005641025641025641
2020-01-18,-0.0005797101449275361
2020-01-18,-0.0006577480490523968
2020-01-18,-0.0006499442586399109
2020-01-18,-0.0006421404682274247
2020-01-18,-0.0006343366778149386
2020-01-18,-0.0006265328874024527
2020-01-18,-0.0006343366778149386
2020-01-18,-0.0006421404682274247
2020-01-18,-0.0006499442586399109
2020-01-18,-0.0005875139353400222
2020-01-18,-0.0005719063545150502
2020-01-18,-0.0005641025641025641
2020-01-18,-0.0005562987736900779
2020-01-19,-0.0005328874024526197
2020-01-19,-0.0005406911928651061
2020-01-19,-0.0006265328874024527
2020-01-19,-0.0006187290969899666
2020-01-19,-0.0006109253065774804
2020-01-19,-0.0006187290969899666
2020-01-19,-0.000548494983277592
2020-01-19,-0.0005406911928651061
2020-01-20,-0.0005172798216276479
2020-01-20,-0.0005250836120401338
2020-01-20,-0.0006109253065774804
2020-01-20,-0.0005953177257525084
2020-01-20,-0.0005875139353400222
2020-01-20,-0.0006031215161649945
2020-01-20,-0.0005328874024526197
2020-01-20,-0.0005250836120401338
2020-01-21,-0.0005016722408026756
2020-01-21,-0.0005094760312151616
2020-01-21,-0.0005875139353400222
2020-01-21,-0.0005797101449275361
2020-01-21,-0.0005719063545150502
2020-01-21,-0.0005797101449275361
2020-01-21,-0.0005172798216276479
2020-01-21,-0.0005094760312151616
2020-01-22,-0.0004860646599777034
2020-01-22,-0.0004938684503901897
2020-01-22,-0.0005719063545150502
2020-01-22,-0.0005641025641025641
2020-01-22,-0.0005562987736900779
2020-01-22,-0.0005641025641025641
2020-01-22,-0.0005016722408026756
2020-01-22,-0.0004938684503901897
2020-01-23,-0.0004704570791527313
2020-01-23,-0.00047826086956521746
2020-01-23,-0.0005562987736900779
2020-01-23,-0.000548494983277592
2020-01-23,-0.0005406911928651061
2020-01-23,-0.000548494983277592
2020-01-23,-0.0004860646599777034
2020-01-23,-0.00047826086956521746
