Date,SARON
2020-01-01,-0.007079646017699115
2020-01-01,-0.007046460176991151
2020-01-01,-0.007079646017699115
2020-01-01,-0.006913716814159292
2020-01-01,-0.006913716814159292
2020-01-01,-0.006913716814159292
2020-01-02,-0.007079646017699115
2020-01-02,-0.007079646017699115
2020-01-02,-0.006946902654867257
2020-01-02,-0.006946902654867257
2020-01-03,-0.00711283185840708
2020-01-03,-0.00711283185840708
2020-01-03,-0.006946902654867257
2020-01-03,-0.006946902654867257
2020-01-04,-0.006980088495575221
2020-01-04,-0.006980088495575221
2020-01-05,-0.00711283185840708
2020-01-05,-0.00711283185840708
2020-01-05,-0.006980088495575221
2020-01-05,-0.006980088495575221
2020-01-06,-0.007146017699115045
2020-01-06,-0.007146017699115045
2020-01-06,-0.007013274336283186
2020-01-06,-0.007013274336283186
2020-01-07,-0.007146017699115045
2020-01-07,-0.007146017699115045
2020-01-08,-0.0071792035398230095
2020-01-08,-0.0071792035398230095
2020-01-08,-0.007013274336283186
2020-01-08,-0.007013274336283186
2020-01-09,-0.0072123893805309735
2020-01-09,-0.0071792035398230095
2020-01-09,-0.0071792035398230095
2020-01-09,-0.0072123893805309735
2020-01-09,-0.007046460176991151
2020-01-09,-0.007046460176991151
2020-01-09,-0.007046460176991151
2020-01-09,-0.007046460176991151
2020-01-10,-0.007079646017699115
2020-01-10,-0.007079646017699115
2020-01-11,-0.007082411504424778
2020-01-12,-0.007085176991150442
2020-01-13,-0.007087942477876106
2020-01-14,-0.00709070796460177
2020-01-15,-0.007093473451327433
2020-01-16,-0.007096238938053097
2020-01-17,-0.007099004424778761
2020-01-18,-0.007101769911504425
2020-01-19,-0.007104535398230088
2020-01-20,-0.007107300884955752
2020-01-21,-0.007110066371681416
2020-01-22,-0.00711283185840708
2020-01-23,-0.007115597345132743
2020-01-24,-0.007118362831858407
2020-01-25,-0.007121128318584071
2020-01-26,-0.007123893805309735
2020-01-27,-0.007126659292035398
2020-01-28,-0.007129424778761062
2020-01-29,-0.0071321902654867255
2020-01-30,-0.00713495575221239
2020-01-31,-0.007137721238938053
2020-02-01,-0.007140486725663717
2020-02-02,-0.0071432522123893805
2020-02-03,-0.007146017699115044
2020-02-04,-0.007148783185840708
2020-02-05,-0.007151548672566371
2020-02-06,-0.0071543141592920355
2020-02-07,-0.007157079646017699
2020-02-08,-0.007159845132743363
2020-02-09,-0.007162610619469026
2020-02-10,-0.00716537610619469
2020-02-11,-0.007168141592920354
2020-02-12,-0.007170907079646018
2020-02-13,-0.007173672566371681
2020-02-14,-0.007176438053097345
2020-02-15,-0.007179203539823009
2020-02-16,-0.007181969026548673
2020-02-17,-0.007184734513274336
2020-02-18,-0.0071875
2020-02-19,-0.007190265486725664
2020-02-20,-0.007193030973451328
2020-02-21,-0.007195796460176991
2020-02-22,-0.007198561946902655
2020-02-23,-0.007201327433628319
2020-02-24,-0.007204092920353983
2020-02-25,-0.007206858407079646
2020-02-26,-0.00720962389380531
2020-02-27,-0.0072123893805309735
2020-02-27,-0.0072123893805309735
2020-02-27,-0.007079646017699115
2020-02-27,-0.007079646017699115
2020-02-28,-0.007245575221238938
2020-02-28,-0.007245575221238938
2020-02-28,-0.00711283185840708
2020-02-28,-0.00711283185840708
2020-02-29,-0.0071317951959544885
2020-03-01,-0.007150758533501896
2020-03-02,-0.007169721871049305
2020-03-03,-0.007188685208596713
2020-03-04,-0.007207648546144122
2020-03-05,-0.00722661188369153
2020-03-06,-0.007245575221238938
2020-03-06,-0.007245575221238938
2020-03-07,-0.007278761061946902
2020-03-07,-0.007278761061946902
2020-03-08,-0.007278761061946902
2020-03-09,-0.007278761061946902
2020-03-09,-0.00711283185840708
2020-03-10,-0.007278761061946902
2020-03-10,-0.00711283185840708
2020-03-11,-0.0071792035398230095
2020-03-12,-0.0071792035398230095
2020-03-12,-0.0071792035398230095
2020-03-12,-0.006980088495575221
2020-03-13,-0.0071792035398230095
2020-03-13,-0.006980088495575221
2020-03-13,-0.006980088495575221
2020-03-14,-0.006980088495575221
2020-03-15,-0.006991150442477876
2020-03-16,-0.007002212389380531
2020-03-17,-0.007013274336283186
2020-03-18,-0.007013274336283186
2020-03-18,-0.007013274336283186
2020-03-18,-0.006814159292035399
2020-03-19,-0.007013274336283186
2020-03-19,-0.006814159292035399
2020-03-19,-0.006814159292035399
2020-03-19,-0.006814159292035399
2020-03-20,-0.006913716814159292
2020-03-20,-0.00674778761061947
2020-03-21,-0.006913716814159292
2020-03-21,-0.006913716814159292
2020-03-21,-0.00674778761061947
2020-03-21,-0.00674778761061947
2020-03-22,-0.006913716814159292
2020-03-22,-0.00674778761061947
2020-03-23,-0.006847345132743363
2020-03-23,-0.00668141592920354
2020-03-24,-0.006847345132743363
2020-03-24,-0.006847345132743363
2020-03-24,-0.00668141592920354
2020-03-24,-0.00668141592920354
2020-03-25,-0.006847345132743363
2020-03-25,-0.006648230088495575
2020-03-25,-0.00668141592920354
2020-03-26,-0.006780973451327434
2020-03-26,-0.006648230088495575
2020-03-26,-0.006648230088495575
2020-03-27,-0.006780973451327434
2020-03-27,-0.006780973451327434
2020-03-27,-0.006615044247787611
2020-03-27,-0.006648230088495575
2020-03-28,-0.00674778761061947
2020-03-28,-0.00674778761061947
2020-03-28,-0.006780973451327434
2020-03-28,-0.006581858407079646
2020-03-28,-0.006615044247787611
2020-03-28,-0.006581858407079646
2020-03-29,-0.006714601769911505
2020-03-29,-0.006714601769911505
2020-03-30,-0.006714601769911505
2020-03-31,-0.006714601769911505
2020-04-01,-0.006714601769911505
