Date,SONIA
2020-01-01,0.006933333333333333
2020-01-01,0.0072
2020-01-02,0.00719047619047619
2020-01-03,0.007180952380952381
2020-01-04,0.007171428571428572
2020-01-05,0.007161904761904762
2020-01-06,0.007152380952380952
2020-01-07,0.007142857142857143
2020-01-08,0.0071333333333333335
2020-01-09,0.007123809523809524
2020-01-10,0.007114285714285714
2020-01-11,0.0071047619047619045
2020-01-12,0.007095238095238095
2020-01-13,0.0070857142857142855
2020-01-14,0.0070761904761904755
2020-01-15,0.007066666666666666
2020-01-16,0.007057142857142857
2020-01-17,0.007047619047619047
2020-01-18,0.007038095238095237
2020-01-19,0.007028571428571428
2020-01-20,0.007019047619047619
2020-01-21,0.007009523809523809
2020-01-22,0.006999999999999999
2020-01-23,0.00699047619047619
2020-01-24,0.006980952380952381
2020-01-25,0.006971428571428571
2020-01-26,0.006961904761904761
2020-01-27,0.006952380952380952
2020-01-28,0.006942857142857143
2020-01-29,0.006933333333333333
2020-01-29,0.006933333333333333
2020-01-29,0.0072
2020-01-29,0.0072
2020-01-30,0.006866666666666667
2020-01-30,0.006866666666666667
2020-01-30,0.0071333333333333335
2020-01-30,0.0071333333333333335
2020-01-31,0.00708
2020-02-01,0.007026666666666667
2020-02-02,0.006973333333333333
2020-02-03,0.00692
2020-02-04,0.006866666666666667
2020-02-04,0.006866666666666667
2020-02-04,0.0071333333333333335
2020-02-04,0.0071333333333333335
2020-02-05,0.006933333333333333
2020-02-05,0.006933333333333333
2020-02-05,0.0072
2020-02-05,0.0072
2020-02-06,0.00717037037037037
2020-02-07,0.007140740740740741
2020-02-08,0.007111111111111111
2020-02-09,0.007081481481481481
2020-02-10,0.007051851851851852
2020-02-11,0.007022222222222222
2020-02-12,0.006992592592592592
2020-02-13,0.0069629629629629625
2020-02-14,0.006933333333333333
2020-02-14,0.006933333333333333
2020-02-14,0.0072
2020-02-14,0.0072
2020-02-15,0.006866666666666667
2020-02-15,0.006866666666666667
2020-02-15,0.0071333333333333335
2020-02-15,0.0071333333333333335
2020-02-16,0.007066666666666667
2020-02-17,0.007
2020-02-18,0.006933333333333333
2020-02-19,0.006866666666666667
2020-02-20,0.0066
2020-02-20,0.006866666666666667
2020-02-20,0.0068
2020-02-20,0.0066
2020-02-21,0.006066666666666666
2020-02-21,0.006533333333333333
2020-02-21,0.006533333333333333
2020-02-21,0.006066666666666666
2020-02-22,0.0056
2020-02-22,0.006
2020-02-22,0.006
2020-02-22,0.0056
2020-02-22,0.0071333333333333335
2020-02-23,0.004599999999999999
2020-02-23,0.004999999999999999
2020-02-23,0.005066666666666666
2020-02-23,0.005533333333333333
2020-02-23,0.005533333333333333
2020-02-23,0.005066666666666666
2020-02-23,0.004999999999999999
2020-02-23,0.004599999999999999
2020-02-23,0.0066
2020-02-23,0.007
2020-02-23,0.007066666666666666
2020-02-23,0.0071333333333333335
2020-02-23,0.007
2020-02-23,0.0066
2020-02-24,0.004066666666666667
2020-02-24,0.004533333333333333
2020-02-24,0.004533333333333333
2020-02-24,0.004066666666666667
2020-02-24,0.0061333333333333335
2020-02-24,0.006533333333333333
2020-02-24,0.006533333333333333
2020-02-24,0.0061333333333333335
2020-02-25,0.0036
2020-02-25,0.004
2020-02-25,0.004
2020-02-25,0.0036
2020-02-25,0.0056
2020-02-25,0.006066666666666666
2020-02-25,0.006066666666666666
2020-02-25,0.0056
2020-02-26,0.0030666666666666668
2020-02-26,0.003533333333333333
2020-02-26,0.003533333333333333
2020-02-26,0.0030666666666666668
2020-02-26,0.005133333333333333
2020-02-26,0.005533333333333333
2020-02-26,0.005533333333333333
2020-02-26,0.005133333333333333
2020-02-27,0.0026
2020-02-27,0.003
2020-02-27,0.003
2020-02-27,0.0026
2020-02-27,0.004599999999999999
2020-02-27,0.005066666666666666
2020-02-27,0.005066666666666666
2020-02-27,0.004599999999999999
2020-02-28,0.0020666666666666667
2020-02-28,0.002533333333333333
2020-02-28,0.002533333333333333
2020-02-28,0.0020666666666666667
2020-02-28,0.0041333333333333335
2020-02-28,0.004533333333333333
2020-02-28,0.004533333333333333
2020-02-28,0.0041333333333333335
2020-02-29,0.0019333333333333331
2020-02-29,0.002
2020-02-29,0.002
2020-02-29,0.0018666666666666666
2020-02-29,0.0036
2020-02-29,0.004066666666666667
2020-02-29,0.004066666666666667
2020-02-29,0.0036
2020-03-01,0.0018
2020-03-01,0.0018666666666666666
2020-03-01,0.0018
2020-03-01,0.0017333333333333333
2020-03-01,0.0031333333333333335
2020-03-01,0.003533333333333333
2020-03-01,0.003533333333333333
2020-03-01,0.0031333333333333335
2020-03-02,0.0016666666666666666
2020-03-02,0.0017333333333333333
2020-03-02,0.0016666666666666666
2020-03-02,0.0016
2020-03-02,0.0026
2020-03-02,0.0030666666666666668
2020-03-02,0.0030666666666666668
2020-03-02,0.0026
2020-03-03,0.0013333333333333333
2020-03-03,0.0014666666666666667
2020-03-03,0.0015333333333333334
2020-03-03,0.0016
2020-03-03,0.0015333333333333334
2020-03-03,0.0014666666666666667
2020-03-03,0.0014
2020-03-03,0.0012666666666666666
2020-03-03,0.002
2020-03-03,0.0020666666666666667
2020-03-03,0.0021333333333333334
2020-03-03,0.002533333333333333
2020-03-03,0.002533333333333333
2020-03-03,0.0021333333333333334
2020-03-03,0.0020666666666666667
2020-03-03,0.0019333333333333331
2020-03-04,0.0012
2020-03-04,0.0012666666666666666
2020-03-04,0.0012
2020-03-04,0.0011333333333333332
2020-03-04,0.0018666666666666666
2020-03-04,0.0019333333333333331
2020-03-04,0.0018666666666666666
